name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,1804,2306298401,,,,,,,-111.9745075,33.3637237,,,
,1805,316737362,,,,,,,-111.9718701,33.3766258,,,
,1806,2927816227,crossing,,,,,,-111.971939,33.377278,,,
,1807,1707943530,,,,,,,-111.9719373,33.377308,,,
,1808,41640271,,,,,,,-111.8979242,33.3847808,,,
,1809,41640277,,,,,,,-111.893152,33.3828887,,,
,1810,41640281,turning_circle,,,,,,-111.9062823,33.38478,,,
,1811,3843980538,,,,,,,-111.9058543,33.3848096,,,
,1812,3843980104,,,,,,,-111.9049368,33.3848534,,,
,1813,41640283,,,,,,,-111.9044462,33.384861,,,
,1814,321276645,,,,,,,-111.9021779,33.3844462,,,
,1815,41640287,turning_circle,,,,,,-111.9329998,33.3847744,,,
,1816,3844394892,,,,,,,-111.9325471,33.384766,,,
,1817,3844394893,,,,,,,-111.9316156,33.384771,,,
,1818,41640289,,,,,,,-111.931144,33.3847719,,,
,1819,3844394894,,,,,,,-111.930685,33.3847668,,,
,1820,41640291,,,,,,,-111.9302102,33.3847579,,,
,1821,3844394883,,,,,,,-111.9297327,33.3847149,,,
,1822,41640293,,,,,,,-111.9293022,33.3846727,,,
,1823,41640299,turning_circle,,,,,,-111.9236593,33.3846603,,,
,1824,41640300,,,,,,,-111.9232126,33.3847431,,,
,1825,3842134191,,,,,,,-111.9223676,33.3848075,,,
,1826,41640303,turning_circle,,,,,,-111.9218998,33.384818,,,
,1827,41640306,turning_circle,,,,,,-111.919187,33.3848183,,,
,1828,3842134177,,,,,,,-111.9187426,33.3848219,,,
,1829,41640308,turning_circle,,,,,,-111.9182943,33.3848255,,,
,1830,41499156,,,,,,,-111.9768757,33.3573361,,,
,1831,41641118,,,,,,,-111.9198211,33.3505243,,,
,1832,41641120,turning_circle,,,,,,-111.9209059,33.3505298,,,
,1833,41641123,,,,,,,-111.9273876,33.3516433,,,
,1834,5098117525,,,,,,,-111.9253534,33.3510155,,,
,1835,41641142,,,,,,,-111.9239937,33.3508436,,,
,1836,41641149,,,,,,,-111.9027744,33.3506069,,,
,1837,41641157,,,,,,,-111.9050146,33.3509009,,,
,1838,42716132,,,,,,,-111.905317,33.351326,,,
,1839,41641168,,,,,,,-111.9312497,33.3510345,,,
,1840,41641174,,,,,,,-111.9299171,33.3513076,,,
,1841,41641175,,,,,,,-111.9291877,33.35104,,,
,1842,8703186565,,,,,,,-111.928498,33.3509645,,,
,1843,41641179,,,,,,,-111.9198189,33.3501732,,,
,1844,41641182,,,,,,,-111.9186948,33.3503754,,,
,1845,41641188,,,,,,,-111.9155105,33.3504255,,,
,1846,41641189,,,,,,,-111.9077183,33.3505495,,,
,1847,41641191,,,,,,,-111.9090572,33.3505424,,,
,1848,41641195,,,,,,,-111.9155019,33.3511999,,,
,1849,41641201,,,,,,,-111.9141182,33.3514641,,,
,1850,41641202,,,,,,,-111.9060274,33.3503129,,,
,1851,41641206,turning_circle,,,,,,-111.9063106,33.3504922,,,
,1852,41641209,,,,,,,-111.933871,33.3504303,,,
,1853,41641210,,,,,,,-111.9363427,33.3504305,,,
,1854,41641212,turning_circle,,,,,,-111.9131588,33.3511067,,,
,1855,320089433,,,,,,,-111.9128927,33.3511497,,,
,1856,8459861900,,,,,,,-111.9125126,33.3513172,,,
,1857,6892905770,,,,,,,-111.912354,33.3514099,,,
,1858,6892905761,,,,,,,-111.9119723,33.3516247,,,
,1859,8459861913,,,,,,,-111.9118153,33.3516903,,,
,1860,41638612,,,,,,,-111.9112104,33.3517376,,,
,1861,41641214,turning_circle,,,,,,-111.9299859,33.3510185,,,
,1862,42309967,,,,,,,-111.9723133,33.3763985,,,
,1863,260814323,,,,,,,-111.972196,33.3762986,,,
,1864,42309971,,,,,,,-111.9719195,33.3763196,,,
,1865,327748936,,,,,,,-111.971823,33.3765422,,,
,1866,41642978,,,,,,,-111.9722455,33.3766607,,,
,1867,327748950,,,,,,,-111.9723034,33.3766036,,,
,1868,41642991,,,,,,,-111.9739464,33.3728239,,,
,1869,2161954958,,,,,,,-111.9739364,33.3732181,,,
,1870,41642989,,,,,,,-111.9738999,33.3746051,,,
,1871,2161955131,,,,,,,-111.9728981,33.3762941,,,
,1872,41643740,,,,,,,-111.8951717,33.398362,,,
,1873,41643741,,,,,,,-111.8939014,33.3978819,,,
,1874,41643746,,,,,,,-111.895927,33.3950586,,,
,1875,41647238,turning_circle,,,,,,-111.9538128,33.358375,,,
,1876,41647243,,,,,,,-111.9538385,33.3575966,,,
,1877,41647244,,,,,,,-111.9538425,33.3568088,,,
,1878,41647702,,,,,,,-111.919819,33.3497301,,,
,1879,41647704,turning_circle,,,,,,-111.920935,33.3497372,,,
,1880,41647706,,,,,,,-111.9247784,33.3500803,,,
,1881,41647710,,,,,,,-111.9242548,33.34998,,,
,1882,41501529,,,,,,,-111.9581803,33.3637316,,,
,1883,7645091927,,,,,,,-111.9581941,33.363404,,,
,1884,7983393438,,,,,,,-111.958194,33.363127,,,
,1885,7645091922,,,,,,,-111.958194,33.3630991,,,
,1886,8484628957,,,,,,,-111.9581931,33.3626331,,,
,1887,7983393400,,,,,,,-111.9581939,33.3625912,,,
,1888,7806984797,,,,,,,-111.9581938,33.3623522,,,
,1889,6032357688,,,,,,,-111.9581936,33.3614579,,,
,1890,7806977716,,,,,,,-111.9581935,33.3612291,,,
,1891,41647927,,,,,,,-111.9581941,33.3608007,,,
,1892,320055011,,,,,,,-111.9581939,33.3607503,,,
,1893,3584414307,,,,,,,-111.9581932,33.3600516,,,
,1894,41647931,,,,,,,-111.9581924,33.3592173,,,
,1895,3528542182,,,,,,,-111.9581912,33.3580325,,,
,1896,7522709582,,,,,,,-111.9581913,33.3579733,,,
,1897,2263054772,,,,,,,-111.9583981,33.3575121,,,
,1898,2263054740,,,,,,,-111.9577981,33.3567476,,,
,1899,41648450,,,,,,,-111.9275753,33.358998,,,
,1900,41648454,,,,,,,-111.9283069,33.3584018,,,
,1901,41650311,turning_circle,,,,,,-111.9349227,33.3316973,,,
,1902,41650313,turning_circle,,,,,,-111.9331975,33.3314822,,,
,1903,41650315,,,,,,,-111.9157261,33.3325425,,,
,1904,41650316,turning_circle,,,,,,-111.9130138,33.3324134,,,
,1905,41650318,,,,,,,-111.903222,33.332141,,,
,1906,41495484,,,,,,,-111.9062428,33.332084,,,
,1907,41650325,,,,,,,-111.9081826,33.3312306,,,
,1908,41650329,turning_circle,,,,,,-111.9377015,33.3315908,,,
,1909,41650335,,,,,,,-111.926115,33.3319515,,,
,1910,41650336,turning_circle,,,,,,-111.9247774,33.3319322,,,
,1911,41650341,,,,,,,-111.9372401,33.3318121,,,
,1912,41650348,turning_circle,,,,,,-111.9360213,33.3316185,,,
,1913,41650352,,,,,,,-111.9169878,33.332521,,,
,1914,41650357,,,,,,,-111.9192366,33.3320119,,,
,1915,41651398,,,,,,,-111.9371166,33.3427853,,,
,1916,41651420,,,,,,,-111.9423564,33.342897,,,
,1917,41651427,,,,,,,-111.9438678,33.3427668,,,
,1918,41651660,,,,,,,-111.9282171,33.3758667,,,
,1919,41651662,,,,,,,-111.9284253,33.3745268,,,
,1920,41651664,,,,,,,-111.9284264,33.3738668,,,
,1921,41651666,,,,,,,-111.9283394,33.3725414,,,
,1922,41651668,,,,,,,-111.9281828,33.3720963,,,
,1923,41652360,turning_circle,,,,,,-111.9362113,33.3734511,,,
,1924,41652363,,,,,,,-111.934989,33.3738013,,,
,1925,3844386607,,,,,,,-111.9343907,33.3737187,,,
,1926,41652364,,,,,,,-111.9338818,33.3737081,,,
,1927,41652367,,,,,,,-111.9329325,33.3740531,,,
,1928,41652368,,,,,,,-111.9293448,33.3744044,,,
,1929,41653455,,,,,,,-111.9393578,33.3767902,,,
,1930,41653456,turning_circle,,,,,,-111.9387655,33.3767921,,,
,1931,41653460,,,,,,,-111.9027881,33.3778861,,,
,1932,41653461,turning_circle,,,,,,-111.9019384,33.3778789,,,
,1933,41653464,turning_circle,,,,,,-111.9010458,33.3778861,,,
,1934,41653465,,,,,,,-111.9006338,33.3778861,,,
,1935,41653467,turning_circle,,,,,,-111.9002046,33.3778933,,,
,1936,41653470,turning_circle,,,,,,-111.8992691,33.3779291,,,
,1937,41653471,,,,,,,-111.8972091,33.3779291,,,
,1938,41653552,turning_circle,,,,,,-111.9338365,33.4033553,,,
,1939,41653554,,,,,,,-111.9338451,33.4027749,,,
,1940,41653762,,,,,,,-111.9471491,33.3902032,,,
,1941,41653764,turning_circle,,,,,,-111.9472178,33.3897374,,,
,1942,41653766,turning_circle,,,,,,-111.9486371,33.3589443,,,
,1943,41653770,,,,,,,-111.9490603,33.3587973,,,
,1944,41653773,,,,,,,-111.9494344,33.3585785,,,
,1945,41653775,,,,,,,-111.9496403,33.3583459,,,
,1946,41653780,,,,,,,-111.9497278,33.3571782,,,
